DataHora,Idade,Sexo,TempoDocencia,CursoGraduacao,PosEmEstatistica,UsoR,UsoTinkerplots,UsoFathom,UsoExcel,UsoSPSS,UsoCODAP,UsoMinitab,UsoPython,UsoSigmaplot,UsoPSPP,NomeOutros1,UsoOutro1,NomeOutros2,UsoOutro2,NomeOutros3,UsoOutro3
05/12/2023 14:30:15,47,Masculino,7,Licenciatura em Matemática,Não,3,1,1,3,1,1,1,1,1,1,CHIC (Classificação Hierárquica Implicativa Coesitiva),4,,,,
05/12/2023 14:49:18,60,Masculino,12,Engenharia Eletrônica,Não,1,1,1,3,1,1,1,1,1,1,OCTAVE,5,C++ Code Bloks,5,MPI,5
05/12/2023 15:25:29,56,Feminino,26,Estatística,Sim,5,1,1,5,3,1,2,2,1,2,Stata,3,,,,
05/12/2023 15:33:22,44,Masculino,11,Ciências Biológicas,Não,5,1,1,5,1,1,1,1,1,1,,,,,,
05/12/2023 16:05:33,53,Masculino,20,Matemática,Não,1,,1,5,1,1,4,4,1,1,,,,,,
05/12/2023 17:39:02,33,Masculino,3,Engenharia Civil,Não,1,1,1,5,1,1,1,1,1,,Smath Studio,5,,,,
05/12/2023 18:29:05,48,Masculino,10,Ciências Biológicas,Não,5,1,1,5,1,1,1,1,1,1,JAMOVI,5,Biostat,3,Past,3
05/12/2023 21:39:12,55,Masculino,5,Psicologia,Não,2,1,1,4,4,1,1,1,1,4,,,,,,
05/12/2023 22:26:10,55,Feminino,10,Pedagogia e Biomedicina,Não,,,,5,,,,,,,BIOSTAT,5,STATISTIC,4,,
06/12/2023 09:02:57,35,Masculino,10,Estatística,Sim,5,1,1,5,1,1,1,1,1,1,,,,,,
06/12/2023 09:20:44,38,Masculino,3,Geografia,Não,3,1,1,5,1,1,2,3,1,1,,,,,,
06/12/2023 17:12:08,63,Masculino,30,Bacharelado em Estatística,Sim,5,1,1,4,2,1,2,1,1,1,SISVAR,2,GEODA,3,SAS,2
06/12/2023 17:29:59,38,Feminino,1,Licenciatura em Matemática,Sim,2,1,1,2,1,1,1,2,1,1,Matlab,2,Maple,2,,
06/12/2023 19:30:42,45,Feminino,12,Estatística,Sim,5,,,5,,,,,,,,,,,,
07/12/2023 08:58:10,41,Masculino,15,Ciências Biológicas,Não,5,1,1,5,1,1,1,5,1,1,Statistica,4,Systat,4,Softwares que eu mesmo desenvolvo,5
07/12/2023 09:08:52,33,Masculino,4,Economia,Sim,4,1,1,3,1,1,1,4,1,1,,,,,,
07/12/2023 09:26:21,44,Masculino,14,Economia,Não,2,1,1,4,2,1,1,2,1,2,Stata,5,Gretl,5,,
07/12/2023 09:32:12,42,Feminino,10,Estatística,Sim,4,1,1,3,1,1,1,1,1,1,,,,,,
07/12/2023 09:50:37,62,Masculino,15,Educação Física,Não,,,,5,5,,,,,,stata,5,,,,
07/12/2023 10:04:54,49,Masculino,14,Engenharia Civil,Não,1,1,1,5,1,1,1,1,1,1,BioEstat 5.0,5,,,,
07/12/2023 10:30:51,44,Masculino,13,Matemática,Não,5,1,1,5,2,1,1,1,1,1,,,,,,
07/12/2023 10:32:28,37,Masculino,6,Engenharia Florestal,Sim,5,,,5,,,,4,,,QGIS,4,Inkscape,5,Julia,3
07/12/2023 10:38:18,32,Masculino,4,Estatística e Enfermagem,Não,5,1,1,5,5,1,4,1,1,1,STATA,5,,,,
07/12/2023 12:12:31,30,Feminino,1,Matemática,Sim,4,1,1,3,1,1,1,1,1,1,Bioestat,1,,,,
07/12/2023 12:17:09,52,Feminino,23,Licenciatura em Matemática,Não,5,1,1,4,1,1,1,5,,1,,,,,,
07/12/2023 12:25:58,50,Feminino,2.33,Matemática,Não,1,1,1,5,3,1,1,1,1,1,Plataforma Moodle,3,Google Jamboard,3,Google Classroom,3
07/12/2023 12:42:09,46,Masculino,15,Biologia,Não,3,1,1,4,1,1,1,1,2,1,PAST 4.3,4,Stats Tester for Android,4,Analystat for android,4
07/12/2023 13:08:58,40,Masculino,2,Economia,Não,5,1,1,5,1,1,1,1,1,1,,,,,,
